iter	Passed	Remaining
0	0	45
1	0	43
2	1	42
3	1	42
4	2	41
5	2	40
6	2	39
7	3	39
8	3	39
9	4	38
10	4	38
11	5	37
12	5	37
13	6	37
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	32
23	10	31
24	10	31
25	10	31
26	11	30
27	11	30
28	12	29
29	12	29
30	13	29
31	13	28
32	13	28
33	14	27
34	14	27
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	24
42	18	24
43	18	23
44	19	23
45	19	22
46	19	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	24	17
58	25	17
59	25	17
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	14
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	8
79	34	8
80	34	8
81	35	7
82	35	7
83	35	6
84	36	6
85	36	5
86	37	5
87	37	5
88	38	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	41	1
96	41	1
97	42	0
98	42	0
99	42	0
